date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-01-10,0.23326,0.28153,0.29305,0.22165,676.48K,-17.15%
2019-01-09,0.28153,0.27209,0.28302,0.27209,55.54K,3.47%
2019-01-08,0.27209,0.27313,0.28074,0.2627,35.48K,-0.38%
2019-01-07,0.27313,0.28124,0.28567,0.27259,28.07K,-2.88%
2019-01-06,0.28124,0.26504,0.28182,0.2576,31.04K,6.11%
2019-01-05,0.26504,0.27145,0.28056,0.26358,418.26K,-2.36%
2019-01-04,0.27145,0.25509,0.27882,0.2531,39.32K,6.41%
2019-01-03,0.25509,0.25019,0.26358,0.24869,128.67K,1.96%
2019-01-02,0.25019,0.23845,0.25192,0.23596,63.61K,4.93%
2019-01-01,0.23845,0.23271,0.23845,0.22743,165.78K,2.47%
2018-12-31,0.23271,0.24078,0.42422,0.22873,343.67K,-3.35%
2018-12-30,0.24078,0.22981,0.24187,0.22979,26.76K,4.78%
2018-12-29,0.22981,0.24043,0.24748,0.22981,46.21K,-4.42%
2018-12-28,0.24043,0.21704,0.24282,0.2167,170.09K,10.78%
2018-12-27,0.21704,0.23914,0.23951,0.21615,95.34K,-9.24%
2018-12-26,0.23914,0.24087,0.24841,0.2321,93.52K,-0.72%
2018-12-25,0.24087,0.26947,0.27008,0.2338,40.56K,-10.61%
2018-12-24,0.26947,0.25852,0.28829,0.25852,107.64K,4.23%
2018-12-23,0.25852,0.25033,0.26624,0.24877,77.12K,3.27%
2018-12-22,0.25033,0.24107,0.2504,0.23736,89.42K,3.84%
2018-12-21,0.24107,0.24446,0.26423,0.23778,282.66K,-1.39%
2018-12-20,0.24446,0.22277,0.24529,0.21905,121.74K,9.74%
2018-12-19,0.22277,0.21661,0.24203,0.21661,150.38K,2.85%
2018-12-18,0.21661,0.20891,0.21707,0.20448,74.74K,3.68%
2018-12-17,0.20891,0.18695,0.21842,0.18519,51.66K,11.75%
2018-12-16,0.18695,0.18515,0.19292,0.18515,88.46K,0.97%
2018-12-15,0.18515,0.18451,0.18796,0.18205,38.79K,0.35%
2018-12-14,0.18451,0.19436,0.19569,0.18042,43.97K,-5.07%
2018-12-13,0.19436,0.20561,0.20561,0.19327,29.30K,-5.47%
