date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-07-20,2.64,2.6,2.73,2.58,5.55M,1.55%
2019-07-19,2.6,2.67,2.75,2.5,6.57M,-2.69%
2019-07-18,2.67,2.4,2.79,2.35,15.91M,11.56%
2019-07-17,2.39,2.19,2.59,2.06,15.95M,9.45%
2019-07-16,2.19,2.69,2.77,2.16,9.87M,-18.84%
2019-07-15,2.69,2.79,2.85,2.59,8.91M,-3.60%
2019-07-14,2.79,3.17,3.24,2.76,10.09M,-12.00%
2019-07-13,3.17,3.17,3.29,3.05,11.58M,0.00%
2019-07-12,3.17,2.78,3.32,2.6,13.95M,13.80%
2019-07-11,2.78,3.11,3.15,2.71,9.10M,-10.63%
2019-07-10,3.12,3.07,3.26,2.86,12.42M,1.63%
2019-07-09,3.07,3.34,3.37,2.96,12.34M,-8.13%
2019-07-08,3.34,3.28,3.56,3.25,6.95M,1.85%
2019-07-07,3.28,3.47,3.51,3.25,7.18M,-5.51%
2019-07-06,3.47,3.64,3.65,3.45,6.73M,-4.76%
2019-07-05,3.64,3.46,3.75,3.46,14.06M,5.22%
2019-07-04,3.46,3.49,3.6,3.22,13.26M,-0.88%
2019-07-03,3.49,3.74,3.88,3.49,14.14M,-6.65%
2019-07-02,3.74,3.64,3.98,3.2,32.72M,2.73%
2019-07-01,3.64,3.39,3.85,2.95,30.44M,7.45%
2019-06-30,3.39,3.71,4.23,3.25,31.12M,-8.81%
2019-06-29,3.72,3.03,4.57,2.95,68.09M,22.42%
2019-06-28,3.03,2.29,3.1,2.21,19.15M,32.27%
2019-06-27,2.29,2.28,2.55,2.12,17.62M,0.77%
2019-06-26,2.28,2.19,2.44,2.03,20.96M,3.91%
2019-06-25,2.19,1.87,2.43,1.86,27.58M,17.33%
2019-06-24,1.87,1.81,1.88,1.79,3.33M,3.10%
2019-06-23,1.81,1.84,1.91,1.77,6.46M,-1.70%
2019-06-22,1.84,1.69,1.94,1.68,11.12M,9.24%
2019-06-21,1.69,1.77,1.79,1.62,8.95M,-4.52%
2019-06-20,1.77,1.84,1.89,1.69,7.24M,-3.77%
2019-06-19,1.84,1.82,1.9,1.8,6.68M,1.11%
2019-06-18,1.82,1.96,2.02,1.76,17.29M,-7.18%
2019-06-17,1.96,1.66,2.07,1.66,22.43M,17.65%
2019-06-16,1.66,1.71,1.8,1.6,11.11M,-2.68%
2019-06-15,1.71,1.63,1.81,1.6,215.58K,4.76%
2019-06-14,1.63,1.85,1.9,1.5,554.79K,-11.93%
2019-06-13,1.85,1.15,1.99,1.12,399.34K,61.72%
2019-06-12,1.15,1.12,1.16,1.08,39.50K,2.33%
2019-06-11,1.12,1.21,1.21,1.1,34.25K,-7.47%
2019-06-10,1.21,1.06,1.21,1.04,34.07K,14.30%
2019-06-09,1.06,1.14,1.15,1.01,28.95K,-7.22%
2019-06-08,1.14,1.18,1.19,1.12,33.08K,-3.13%
2019-06-07,1.18,1.11,1.25,1.07,98.03K,6.19%
2019-06-06,1.11,1.1,1.26,1.06,161.58K,1.25%
2019-06-05,1.1,0.88,1.1,0.88,78.06K,24.58%
2019-06-04,0.88,0.92,0.93,0.85,34.17K,-3.99%
2019-06-03,0.92,1.02,1.02,0.9,37.09K,-10.61%
2019-06-02,1.02,0.95,1.05,0.94,82.84K,7.35%
2019-06-01,0.95,1.02,1.05,0.95,29.84K,-6.34%
2019-05-31,1.02,1.01,1.04,0.93,87.24K,0.88%
2019-05-30,1.01,1.17,1.22,0.93,97.80K,-13.65%
2019-05-29,1.17,1.28,1.28,1.15,72.98K,-8.62%
2019-05-28,1.28,1.22,1.34,1.15,110.85K,5.29%
2019-05-27,1.22,1.08,1.25,1.08,132.73K,12.18%
2019-05-26,1.08,1.11,1.18,1.04,92.20K,-2.71%
2019-05-25,1.11,1.31,1.33,1.1,93.99K,-15.17%
2019-05-24,1.31,1.34,1.43,1.2,101.62K,-1.88%
2019-05-23,1.34,1.22,1.39,1.15,86.71K,9.69%
2019-05-22,1.22,1.2,1.47,1.14,133.28K,2.02%
2019-05-21,1.2,1.12,1.23,1.06,57.31K,7.07%
2019-05-20,1.12,1.02,1.17,0.96,28.09K,9.79%
2019-05-19,1.02,0.94,1.11,0.94,62.09K,8.73%
2019-05-18,0.94,0.88,0.96,0.86,18.65K,6.80%
2019-05-17,0.88,0.92,0.98,0.82,47.88K,-5.25%
2019-05-16,0.92,0.85,0.93,0.74,47.94K,8.98%
2019-05-15,0.85,0.8,0.88,0.78,75.11K,6.46%
2019-05-14,0.8,0.67,0.98,0.64,114.29K,19.59%
2019-05-13,0.67,0.65,0.69,0.65,8.74K,2.16%
2019-05-12,0.65,0.69,0.7,0.63,13.86K,-4.96%
2019-05-11,0.69,0.69,0.76,0.65,48.50K,0.00%
2019-05-10,0.69,0.68,0.76,0.65,62.76K,1.16%
2019-05-09,0.68,0.59,0.75,0.59,70.85K,14.46%
2019-05-08,0.59,0.55,0.62,0.53,22.96K,8.29%
2019-05-07,0.55,0.58,0.61,0.55,13.97K,-4.78%
2019-05-06,0.58,0.5,0.59,0.5,17.48K,14.48%
