date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-10-04,15.6458,15.6751,15.859,15.4227,2.52M,-0.32%
2019-10-03,15.6954,15.9135,15.966,15.4392,2.34M,-1.33%
2019-10-02,15.9063,15.8525,15.9362,15.584,1.94M,0.36%
2019-10-01,15.8496,15.84,16.1672,15.6551,2.40M,0.06%
2019-09-30,15.8405,15.2715,15.8537,14.7893,2.31M,3.73%
2019-09-29,15.2712,15.7479,15.81,14.9475,2.02M,-3.03%
2019-09-28,15.7481,15.6452,15.8503,15.3526,2.27M,0.65%
2019-09-27,15.6467,15.4112,15.7444,14.8221,2.63M,1.52%
2019-09-26,15.413,16.2527,16.6455,14.651,3.29M,-5.15%
2019-09-25,16.2491,16.0081,22.8,15.4157,3.25M,1.46%
2019-09-24,16.0149,19.5864,19.7507,15.9362,4.67M,-18.23%
2019-09-23,19.5857,20.5497,20.5558,19.453,2.19M,-4.71%
2019-09-22,20.5537,21.1484,21.1661,20.324,2.07M,-2.78%
2019-09-21,21.1412,21.4019,21.5646,21.0258,2.28M,-1.22%
2019-09-20,21.4019,21.6112,21.6867,21.1021,2.70M,-0.97%
2019-09-19,21.6112,22.2136,22.4638,20.53,2.87M,-2.72%
2019-09-18,22.2152,21.0829,23.1599,21.0315,5.51M,5.38%
2019-09-17,21.0808,20.4856,21.4953,20.294,3.27M,3.01%
2019-09-16,20.4639,20.6029,20.9741,20.1911,2.10M,-0.67%
2019-09-15,20.6011,21.0964,21.1961,20.601,2.33M,-2.38%
2019-09-14,21.1035,20.9282,21.2734,20.8839,2.47M,0.85%
2019-09-13,20.926,20.9211,21.2668,20.6444,2.64M,0.02%
2019-09-12,20.9211,20.9725,21.1274,19.9555,3.08M,-0.25%
2019-09-11,20.9737,22.0756,22.2611,20.7844,2.08M,-4.99%
2019-09-10,22.0744,22.348,22.5543,21.6509,1.81M,-1.14%
2019-09-09,22.33,22.6054,22.6383,21.9899,2.03M,-1.13%
2019-09-08,22.5856,22.4841,22.8338,22.2885,2.44M,0.45%
2019-09-07,22.4841,22.0839,22.7537,21.9456,2.94M,1.81%
2019-09-06,22.0839,22.7644,23.437,21.8199,3.44M,-2.99%
2019-09-05,22.7644,21.8252,23.584,21.5952,3.80M,4.30%
2019-09-04,21.8252,22.5076,22.7365,21.6272,2.03M,-3.02%
2019-09-03,22.5047,22.7714,22.9292,22.3274,2.49M,-1.17%
2019-09-02,22.7714,21.5529,22.8777,21.2,3.51M,5.72%
2019-09-01,21.5393,21.2246,21.8259,21.1573,2.76M,1.48%
2019-08-31,21.2246,22.1909,22.4232,21.1701,2.50M,-4.27%
2019-08-30,22.1718,21.8408,22.624,21.5916,3.21M,1.53%
2019-08-29,21.8387,23.4178,23.4178,21.4,2.88M,-6.74%
2019-08-28,23.4182,25.5959,25.9918,23.3198,2.57M,-8.50%
2019-08-27,25.5934,26.1211,26.1258,24.7219,2.49M,-2.02%
2019-08-26,26.1201,26.0793,27.1817,25.7878,3.31M,0.16%
2019-08-25,26.0778,26.4449,26.4777,25.6682,1.92M,-1.39%
2019-08-24,26.4449,27.0309,27.0309,26.0935,1.73M,-2.16%
2019-08-23,27.0284,27.0208,27.3228,26.8683,2.20M,0.02%
2019-08-22,27.0221,26.9532,27.3199,26.3101,2.12M,0.25%
2019-08-21,26.9543,27.9988,28.0362,26.4188,2.18M,-3.71%
2019-08-20,27.9932,28.7748,28.8058,27.7964,2.48M,-2.72%
2019-08-19,28.7751,27.9019,29.2015,27.7321,3.38M,3.11%
2019-08-18,27.9067,27.4541,28.1618,27.1106,2.98M,1.65%
2019-08-17,27.4536,27.5031,27.9025,27.0672,2.71M,-0.18%
2019-08-16,27.5036,28.1008,28.1008,26.8543,2.99M,-2.13%
2019-08-15,28.1017,27.0011,28.2038,26.995,3.61M,4.09%
2019-08-14,26.9972,29.4332,29.4509,26.8489,2.90M,-8.31%
2019-08-13,29.4431,30.1713,30.4057,29.2083,2.94M,-2.45%
2019-08-12,30.182,30.2607,30.5511,29.8418,3.48M,-0.25%
2019-08-11,30.2586,29.6267,30.3815,29.4758,3.42M,2.22%
2019-08-10,29.6023,29.7936,29.9672,29.0835,3.17M,-0.73%
2019-08-09,29.8207,31.1859,31.4786,29.6563,2.74M,-4.41%
2019-08-08,31.1953,29.6524,31.783,29.1896,5.01M,5.21%
2019-08-07,29.6514,27.6508,29.9746,27.3417,3.91M,7.24%
2019-08-06,27.6508,27.974,28.3057,27.347,2.40M,-1.16%
2019-08-05,27.9739,27.3794,28.3178,27.3458,1.99M,2.18%
2019-08-04,27.3776,27.7372,27.7955,27.133,1.72M,-1.30%
2019-08-03,27.7372,28.0951,28.3284,27.5302,1.94M,-1.30%
2019-08-02,28.1036,28.7022,28.7282,27.5704,2.48M,-2.04%
2019-08-01,28.6886,27.7313,28.7706,27.457,3.55M,3.45%
2019-07-31,27.7313,26.9475,27.8063,26.7875,3.05M,2.92%
2019-07-30,26.9443,27.0322,27.1221,26.2259,1.87M,-0.32%
2019-07-29,27.0319,27.7256,27.9935,26.8591,1.80M,-2.49%
2019-07-28,27.7215,27.7066,27.8605,26.6554,2.17M,0.08%
2019-07-27,27.6983,28.8784,29.4219,27.2734,2.41M,-4.09%
2019-07-26,28.8784,28.9252,29.0271,28.2067,2.97M,-0.15%
2019-07-25,28.9216,28.8705,29.6824,28.5165,3.35M,0.13%
2019-07-24,28.8844,29.4579,29.4802,27.8075,3.58M,-1.95%
2019-07-23,29.458,30.8265,30.8672,29.0249,4.04M,-4.47%
2019-07-22,30.8368,30.4187,32.5414,29.7851,5.16M,1.37%
2019-07-21,30.4187,31.075,31.5161,29.3143,3.32M,-2.11%
2019-07-20,31.0743,28.9797,31.4496,28.9007,4.34M,7.19%
2019-07-19,28.99,28.9104,29.92,28.3275,5.86M,0.27%
2019-07-18,28.913,27.6386,29.511,26.7981,9.11M,4.73%
2019-07-17,27.6072,25.0649,28.0943,24.1827,8.15M,10.16%
2019-07-16,25.0621,28.5766,29.5196,24.9466,5.46M,-12.30%
2019-07-15,28.5766,28.5076,28.6773,26.3752,4.39M,0.27%
2019-07-14,28.4988,31.4684,31.5227,28.3525,3.18M,-9.43%
2019-07-13,31.4645,31.8806,32.4951,30.2548,2.67M,-1.31%
2019-07-12,31.8814,29.4285,32.589,29.0261,4.38M,8.32%
2019-07-11,29.4323,31.2408,31.7848,28.3655,2.58M,-5.73%
2019-07-10,31.2199,32.5087,32.9429,30.6197,2.41M,-4.01%
2019-07-09,32.5226,33.4047,33.9088,32.2823,1.92M,-2.64%
2019-07-08,33.4038,32.9695,34.2438,32.7983,2.35M,1.30%
2019-07-07,32.9735,32.6114,33.3705,32.4685,2.05M,1.11%
2019-07-06,32.6114,32.6101,33.1786,32.5303,1.91M,0.04%
2019-07-05,32.5969,33.0729,33.6385,32.4236,2.38M,-1.44%
2019-07-04,33.0736,32.4777,34.356,32.1867,3.34M,1.83%
2019-07-03,32.4793,31.9649,33.0638,31.6584,2.93M,1.61%
2019-07-02,31.9651,33.274,33.8077,30.5901,3.02M,-3.94%
2019-07-01,33.2748,32.1152,34.0117,31.4381,2.82M,3.61%
2019-06-30,32.1147,35.494,35.5055,32.0531,3.15M,-9.50%
2019-06-29,35.4854,34.6041,35.7717,33.3117,4.06M,2.52%
2019-06-28,34.6136,34.4213,35.2696,33.8602,3.35M,0.56%
2019-06-27,34.4213,36.0221,36.2845,33.2833,3.89M,-4.44%
2019-06-26,36.0221,36.0774,37.9407,34.5199,4.45M,-0.15%
2019-06-25,36.0774,37.4032,37.4998,35.7352,3.35M,-3.63%
2019-06-24,37.4347,37.2489,37.799,36.0508,4.41M,0.50%
2019-06-23,37.2489,37.9705,38.4634,37.2341,4.67M,-1.87%
2019-06-22,37.9594,38.6413,39.5418,37.4485,5.41M,-1.79%
2019-06-21,38.6504,36.7813,38.8238,36.2363,5.41M,5.08%
2019-06-20,36.7809,35.1126,36.9236,34.3368,9.54M,4.73%
2019-06-19,35.1182,34.5011,35.631,34.3266,8.71M,1.79%
2019-06-18,34.5012,33.7764,35.0458,33.6884,8.08M,2.15%
2019-06-17,33.7763,32.1949,34.2956,32.1945,7.32M,4.91%
2019-06-16,32.1962,32.71,33.2075,31.7772,4.30M,-1.56%
2019-06-15,32.7066,32.4193,33.9077,31.7337,5.37M,0.89%
2019-06-14,32.4192,35.1999,35.2514,29.9319,7.61M,-7.90%
2019-06-13,35.2007,34.8451,36.2505,34.179,6.02M,1.03%
2019-06-12,34.843,31.8849,34.9563,31.7926,6.40M,9.28%
2019-06-11,31.8852,31.9863,32.0248,30.9962,4.84M,-0.32%
2019-06-10,31.9867,30.1507,32.0031,29.7529,6.26M,6.09%
2019-06-09,30.1507,31.7045,31.8398,29.77,2.53M,-4.90%
2019-06-08,31.7045,31.4274,32.2896,31.1256,3.23M,0.88%
2019-06-07,31.4274,31.1601,31.96,30.9494,2.76M,0.88%
2019-06-06,31.1543,30.85,31.9887,29.75,2.99M,0.99%
2019-06-05,30.85,29.1971,31.1826,29.0068,3.35M,5.66%
2019-06-04,29.1971,30.8659,31.45,28.7327,2.88M,-5.41%
2019-06-03,30.8659,33.1568,33.1619,30.5111,2.85M,-6.91%
2019-06-02,33.1568,33.301,33.7493,32.6938,3.13M,-0.43%
2019-06-01,33.301,32.9196,34.3199,32.5273,3.65M,1.13%
2019-05-31,32.9303,31.6304,32.9634,30.6122,3.63M,4.11%
2019-05-30,31.6304,33.6151,34.9494,30.3764,3.80M,-5.90%
2019-05-29,33.6151,33.1176,33.8748,30.9299,3.64M,1.50%
2019-05-28,33.1176,33.4601,34.49,32.5,3.59M,-1.02%
2019-05-27,33.4601,33.2659,35.0758,32.7598,3.94M,0.58%
2019-05-26,33.2659,35.0736,35.0736,32.366,3.85M,-5.27%
2019-05-25,35.1153,34.1011,35.4724,33.649,4.18M,2.97%
2019-05-24,34.1011,31.422,34.6999,31.212,4.53M,8.53%
2019-05-23,31.422,30.6654,32.2339,30.1972,3.79M,1.20%
2019-05-22,31.0499,32.4127,32.4127,30.6926,3.80M,-4.20%
2019-05-21,32.4127,29.2653,32.7003,28.0629,4.71M,10.75%
2019-05-20,29.2653,29.17,29.2999,27.5987,3.98M,0.33%
2019-05-19,29.17,28.8655,29.8363,27.6218,4.44M,1.05%
2019-05-18,28.8655,25.7991,29.0989,25.1336,4.32M,11.89%
2019-05-17,25.7991,26.29,26.6547,23.3998,3.43M,-1.87%
2019-05-16,26.29,26.8205,27.7392,25.08,4.20M,-1.98%
2019-05-15,26.8205,23.6417,27.4,23.4601,3.43M,13.45%
2019-05-14,23.6417,23.5,24.49,22.6204,3.82M,0.60%
2019-05-13,23.5,20.9587,23.99,20.7381,4.57M,12.13%
2019-05-12,20.9587,20.8491,21.4925,20.1289,3.23M,0.53%
2019-05-11,20.8491,19.6224,22,18.8883,3.75M,6.25%
2019-05-10,19.6224,18.8521,19.9884,18.3322,2.43M,4.24%
2019-05-09,18.8243,20.6673,20.9633,18.578,2.33M,-8.92%
2019-05-08,20.6673,20.6603,21.4,19.6,2.74M,0.03%
2019-05-07,20.6603,22.1895,22.45,20.3006,1.81M,-6.86%
2019-05-06,22.182,22.9849,22.9946,21.4701,1.77M,-3.49%
2019-05-05,22.9849,22.895,23.1696,22.6573,1.79M,0.39%
2019-05-04,22.895,23.7034,23.791,22.3118,1.90M,-3.41%
2019-05-03,23.7034,23.6087,23.972,23.0194,2.23M,0.40%
2019-05-02,23.6087,21.8788,24.0948,21.7497,2.44M,7.91%
2019-05-01,21.8788,22.0429,22.0989,21.4774,2.07M,-0.74%
2019-04-30,22.0429,21.6724,22.2999,21.3363,2.20M,1.71%
2019-04-29,21.6724,23.0127,23.0767,21.34,2.39M,-5.82%
2019-04-28,23.0127,22.42,23.206,22.42,3.02M,2.64%
2019-04-27,22.42,23.0573,23.12,22.39,2.99M,-2.76%
2019-04-26,23.0573,22.48,23.7845,21.6794,3.27M,2.57%
2019-04-25,22.48,23.009,23.4424,21.6099,3.12M,-2.30%
2019-04-24,23.009,22.5488,23.1053,20.9665,2.96M,2.04%
2019-04-23,22.5488,23.783,24.5981,22.48,2.88M,-5.19%
2019-04-22,23.783,24.0301,24.606,23.1809,3.01M,-1.03%
2019-04-21,24.0301,24.8873,24.8873,22.4937,3.31M,-3.44%
2019-04-20,24.8873,24.3199,25.4899,23.7892,3.54M,2.33%
2019-04-19,24.3199,21.88,24.7,21.1736,4.25M,11.15%
2019-04-18,21.88,19.49,21.9907,19.4335,3.69M,12.26%
2019-04-17,19.49,19.6438,19.769,19.2697,2.00M,-0.78%
2019-04-16,19.6438,19.2677,19.7132,18.7133,2.24M,1.95%
2019-04-15,19.2677,19.365,19.777,18.6868,2.22M,-0.60%
2019-04-14,19.3838,18.6183,19.9,18.4285,2.44M,4.11%
2019-04-13,18.6183,18.3238,18.6308,17.9527,2.21M,1.61%
2019-04-12,18.3238,17.5331,18.543,16.62,2.33M,4.51%
2019-04-11,17.5331,18.2302,18.2302,16.3156,1.81M,-3.87%
2019-04-10,18.2391,18.2996,18.6089,17.8934,2.56M,-0.33%
2019-04-09,18.2996,17.9784,18.5351,17.0502,2.78M,1.79%
2019-04-08,17.9784,18.9564,19.0256,17.7998,2.14M,-5.16%
2019-04-07,18.9564,19.0745,19.2135,18.8224,2.33M,-0.52%
2019-04-06,19.0563,19.361,19.361,18.8388,2.52M,-1.57%
2019-04-05,19.361,18.9951,19.4551,18.8799,2.71M,1.93%
2019-04-04,18.9951,18.51,19.41,18.2135,2.94M,2.62%
2019-04-03,18.51,19.7151,19.9997,18,3.53M,-6.11%
2019-04-02,19.7151,17.908,19.88,17.5614,3.36M,10.09%
2019-04-01,17.908,17.5307,18.2306,17.3444,2.97M,2.15%
2019-03-31,17.5307,16.9673,17.72,16.752,3.18M,3.32%
2019-03-30,16.9673,16.4901,16.97,15.9654,2.79M,2.89%
2019-03-29,16.4901,16.6532,16.8067,16.38,2.74M,-0.98%
2019-03-28,16.6532,16.5803,16.7188,16.4087,2.99M,0.44%
2019-03-27,16.5803,16.1979,16.8,15.8904,3.24M,2.46%
2019-03-26,16.1819,16.7932,16.7932,15.5627,2.73M,-3.64%
2019-03-25,16.7932,17.1295,17.3376,16.11,2.77M,-1.96%
2019-03-24,17.1295,15.148,17.45,14.6821,5.29M,13.08%
2019-03-23,15.148,15.1544,15.4396,14.9554,2.63M,-0.04%
2019-03-22,15.1544,14.3506,15.2199,14.233,2.69M,5.60%
2019-03-21,14.3506,15.1313,15.296,13.8998,3.02M,-5.16%
2019-03-20,15.1313,15.5065,15.5065,15.025,2.37M,-2.42%
2019-03-19,15.5065,15.5395,15.7999,15,4.27M,-0.21%
2019-03-18,15.5395,15.6195,15.7887,15.2253,2.48M,-0.51%
