date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-04-21,0.10796,0.10101,0.10799,0.09638,-,6.88%
2019-04-20,0.10101,0.1133,0.11492,0.10072,-,-10.85%
2019-04-19,0.1133,0.11445,0.11446,0.10825,-,-1.00%
2019-04-18,0.11445,0.11634,0.12492,0.10959,-,-1.62%
2019-04-17,0.11634,0.11844,0.12193,0.11341,-,-1.78%
2019-04-16,0.11844,0.11802,0.11868,0.10459,-,0.36%
2019-04-15,0.11802,0.10664,0.12982,0.10313,-,10.67%
2019-04-14,0.10664,0.11241,0.11278,0.10186,-,-5.13%
2019-04-13,0.11241,0.12421,0.12501,0.10223,-,-9.50%
2019-04-12,0.12421,0.12488,0.1286,0.12185,-,-0.54%
2019-04-11,0.12488,0.13127,0.13189,0.11964,-,-4.87%
2019-04-10,0.13127,0.1273,0.13503,0.12628,-,3.12%
2019-04-09,0.1273,0.13017,0.13156,0.12659,-,-2.21%
2019-04-08,0.13017,0.11892,0.13191,0.11766,-,9.46%
2019-04-07,0.11892,0.10991,0.12167,0.10981,-,8.20%
2019-04-06,0.10991,0.11295,0.13349,0.10506,-,-2.69%
2019-04-05,0.11295,0.10373,0.15323,0.10117,-,8.88%
2019-04-04,0.10373,0.09343,0.12225,0.0917,-,11.03%
2019-04-03,0.09343,0.08495,0.14135,0.08385,-,9.98%
2019-04-02,0.08495,0.08354,0.0911,0.07362,-,1.69%
2019-04-01,0.08354,0.07568,0.09333,0.07472,-,10.38%
2019-03-31,0.07568,0.07628,0.08188,0.07487,-,-0.78%
2019-03-30,0.07628,0.07579,0.08426,0.07534,-,0.65%
2019-03-29,0.07579,0.07997,0.08134,0.0725,-,-5.23%
2019-03-28,0.07997,0.08263,0.08342,0.07778,-,-3.22%
2019-03-27,0.08263,0.07913,0.083,0.07473,-,4.41%
2019-03-26,0.07913,0.07827,0.08822,0.07765,-,1.11%
2019-03-25,0.07827,0.08396,0.08997,0.0776,-,-6.78%
2019-03-24,0.08396,0.07964,0.08396,0.07865,-,5.43%
2019-03-23,0.07964,0.07909,0.08058,0.07588,-,0.69%
2019-03-22,0.07909,0.08019,0.08074,0.07443,-,-1.37%
2019-03-21,0.08019,0.0805,0.08205,0.07881,-,-0.39%
2019-03-20,0.0805,0.08123,0.08166,0.0796,-,-0.90%
2019-03-19,0.08123,0.07917,0.08724,0.07887,-,2.60%
2019-03-18,0.07917,0.07908,0.08005,0.07848,-,0.12%
2019-03-17,0.07908,0.07977,0.07977,0.07884,-,-0.87%
2019-03-16,0.07977,0.07752,0.08094,0.07434,-,2.90%
2019-03-15,0.07752,0.07594,0.08008,0.06881,-,2.09%
2019-03-14,0.07594,0.07706,0.0786,0.0755,-,-1.46%
2019-03-13,0.07706,0.0758,0.08044,0.0733,-,1.67%
2019-03-12,0.0758,0.072,0.07953,0.07109,-,5.28%
2019-03-11,0.072,0.07353,0.07369,0.07168,-,-2.08%
2019-03-10,0.07353,0.07665,0.07735,0.07317,-,-4.08%
2019-03-09,0.07665,0.07424,0.07704,0.07412,-,3.25%
2019-03-08,0.07424,0.07364,0.07696,0.07299,-,0.81%
2019-03-07,0.07364,0.07364,0.07859,0.06935,-,0.01%
2019-03-06,0.07364,0.07483,0.07541,0.07201,-,-1.60%
2019-03-05,0.07483,0.07241,0.07559,0.06746,-,3.35%
2019-03-04,0.07241,0.07416,0.07463,0.07182,-,-2.35%
2019-03-03,0.07416,0.08364,0.08529,0.0713,-,-11.34%
2019-03-02,0.08364,0.07701,0.08487,0.07632,-,8.62%
2019-03-01,0.07701,0.08305,0.08481,0.07694,-,-7.28%
2019-02-28,0.08305,0.07979,0.08706,0.07489,-,4.08%
2019-02-27,0.07979,0.08627,0.0894,0.07531,-,-7.51%
2019-02-26,0.08627,0.08795,0.08983,0.08448,-,-1.91%
2019-02-25,0.08795,0.08741,0.08891,0.08567,-,0.62%
2019-02-24,0.08741,0.09168,0.09626,0.08732,-,-4.66%
2019-02-23,0.09168,0.09642,0.10316,0.08644,-,-4.91%
2019-02-22,0.09642,0.0867,0.10169,0.0804,-,11.22%
2019-02-21,0.0867,0.07151,0.08907,0.07007,-,21.24%
2019-02-20,0.07151,0.07979,0.08023,0.06157,-,-10.38%
2019-02-19,0.07979,0.07206,0.08098,0.07125,-,10.73%
2019-02-18,0.07206,0.06752,0.07268,0.06732,-,6.72%
2019-02-17,0.06752,0.06664,0.06985,0.06306,-,1.33%
2019-02-16,0.06664,0.0648,0.0678,0.06445,-,2.83%
2019-02-15,0.0648,0.06274,0.06733,0.06219,-,3.28%
2019-02-14,0.06274,0.06369,0.06615,0.06183,-,-1.49%
2019-02-13,0.06369,0.06345,0.06417,0.06092,-,0.39%
2019-02-12,0.06345,0.06328,0.06389,0.06015,-,0.27%
2019-02-11,0.06328,0.06355,0.06648,0.05992,-,-0.43%
2019-02-10,0.06355,0.06046,0.06381,0.05803,-,5.11%
2019-02-09,0.06046,0.06059,0.06499,0.05959,-,-0.21%
2019-02-08,0.06059,0.05336,0.06295,0.0533,-,13.55%
2019-02-07,0.05336,0.05376,0.05783,0.05231,-,-0.75%
2019-02-06,0.05376,0.05619,0.05997,0.05307,-,-4.32%
2019-02-05,0.05619,0.0541,0.05883,0.0531,-,3.86%
2019-02-04,0.0541,0.0537,0.05874,0.05046,-,0.75%
2019-02-03,0.0537,0.0552,0.06496,0.05076,-,-2.72%
2019-02-02,0.0552,0.0533,0.05646,0.05226,-,3.57%
2019-02-01,0.0533,0.05429,0.05819,0.04936,-,-1.84%
2019-01-31,0.05429,0.05579,0.05668,0.05397,-,-2.68%
2019-01-30,0.05579,0.04893,0.05653,0.04859,-,14.00%
2019-01-29,0.04893,0.05653,0.0609,0.04862,-,-13.43%
2019-01-28,0.05653,0.06419,0.06431,0.05631,-,-11.94%
2019-01-27,0.06419,0.06354,0.06783,0.06025,-,1.03%
2019-01-26,0.06354,0.05741,0.06558,0.05728,-,10.68%
2019-01-25,0.05741,0.05971,0.06004,0.056,-,-3.86%
2019-01-24,0.05971,0.06163,0.06257,0.05784,-,-3.11%
2019-01-23,0.06163,0.06268,0.06558,0.06065,-,-1.68%
2019-01-22,0.06268,0.05669,0.06382,0.05666,-,10.58%
2019-01-21,0.05669,0.05731,0.05854,0.05625,-,-1.08%
2019-01-20,0.05731,0.05694,0.05753,0.05394,-,0.65%
2019-01-19,0.05694,0.0565,0.05956,0.0555,-,0.78%
2019-01-18,0.0565,0.05845,0.06243,0.0565,-,-3.34%
2019-01-17,0.05845,0.06196,0.06331,0.05789,-,-5.66%
2019-01-16,0.06196,0.06376,0.06473,0.0607,-,-2.84%
2019-01-15,0.06376,0.06947,0.07003,0.06345,-,-8.21%
2019-01-14,0.06947,0.06119,0.07237,0.06099,-,13.54%
2019-01-13,0.06119,0.06812,0.07056,0.06089,-,-10.18%
2019-01-12,0.06812,0.07341,0.07427,0.06801,-,-7.20%
2019-01-11,0.07341,0.06919,0.07617,0.06558,-,6.09%
2019-01-10,0.06919,0.07869,0.08323,0.06723,-,-12.07%
2019-01-09,0.07869,0.08473,0.0884,0.07761,-,-7.14%
2019-01-08,0.08473,0.08705,0.08761,0.07976,-,-2.66%
2019-01-07,0.08705,0.09004,0.09059,0.08438,-,-3.32%
2019-01-06,0.09004,0.08765,0.16867,0.08452,-,2.74%
2019-01-05,0.08765,0.08444,0.08958,0.08337,-,3.79%
2019-01-04,0.08444,0.07992,0.08594,0.0794,-,5.66%
2019-01-03,0.07992,0.08797,0.08824,0.07799,-,-9.15%
2019-01-02,0.08797,0.07601,0.09549,0.07307,-,15.72%
2019-01-01,0.07601,0.07567,0.07651,0.0685,-,0.45%
2018-12-31,0.07567,0.08345,0.08374,0.07195,-,-9.32%
2018-12-30,0.08345,0.08416,0.08737,0.07038,-,-0.84%
2018-12-29,0.08416,0.08294,0.08881,0.08024,-,1.47%
2018-12-28,0.08294,0.07379,0.08637,0.0721,-,12.39%
2018-12-27,0.07379,0.07508,0.08151,0.06912,-,-1.71%
2018-12-26,0.07508,0.07282,0.07823,0.06479,-,3.11%
