date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-01-15,1.2192,1.2702,1.2808,1.2092,2.92M,-4.02%
2019-01-14,1.2703,1.1802,1.2966,1.1714,3.28M,7.63%
2019-01-13,1.1802,1.275,1.2952,1.1699,2.78M,-7.43%
2019-01-12,1.275,1.28,1.297,1.2551,2.32M,-0.37%
2019-01-11,1.2798,1.2616,1.3007,1.2384,3.11M,1.43%
2019-01-10,1.2618,1.5099,1.5578,1.2411,4.71M,-16.43%
2019-01-09,1.5099,1.481,1.5183,1.4785,2.06M,1.95%
2019-01-08,1.481,1.4746,1.5282,1.4456,2.22M,0.42%
2019-01-07,1.4748,1.5493,1.5566,1.4638,2.48M,-4.81%
2019-01-06,1.5493,1.4811,1.5569,1.4503,4.59M,4.50%
2019-01-05,1.4825,1.4493,1.5518,1.447,4.84M,2.33%
2019-01-04,1.4487,1.4402,1.4872,1.4056,5.16M,0.59%
2019-01-03,1.4402,1.4957,1.509,1.4237,2.78M,-3.71%
2019-01-02,1.4957,1.408,1.5197,1.408,4.58M,6.21%
2019-01-01,1.4082,1.3367,1.4125,1.3206,3.93M,5.35%
2018-12-31,1.3367,1.3995,1.4443,1.3162,4.59M,-4.49%
2018-12-30,1.3995,1.4172,1.4312,1.35,3.62M,-1.21%
2018-12-29,1.4166,1.4542,1.4839,1.3836,4.21M,-2.59%
2018-12-28,1.4542,1.2928,1.4566,1.2661,2.89M,12.50%
2018-12-27,1.2926,1.4656,1.4658,1.2795,3.90M,-11.81%
2018-12-26,1.4656,1.4494,1.5257,1.3936,4.67M,1.12%
2018-12-25,1.4494,1.5864,1.5885,1.3912,3.31M,-8.64%
2018-12-24,1.5865,1.6416,1.8635,1.5647,6.39M,-3.36%
2018-12-23,1.6416,1.5417,1.676,1.5395,4.93M,6.48%
2018-12-22,1.5417,1.477,1.5457,1.4499,3.40M,4.38%
2018-12-21,1.477,1.6241,1.6648,1.4533,4.53M,-9.06%
2018-12-20,1.6241,1.338,1.6525,1.3238,7.62M,21.47%
2018-12-19,1.337,1.3243,1.4502,1.2969,6.61M,0.96%
2018-12-18,1.3243,1.2586,1.3325,1.1976,6.32M,5.24%
2018-12-17,1.2584,1.1414,1.2971,1.1304,6.03M,10.23%
2018-12-16,1.1416,1.1063,1.2085,1.1029,5.63M,3.19%
2018-12-15,1.1063,1.1102,1.1386,1.0744,3.88M,-0.35%
2018-12-14,1.1102,1.1852,1.2042,1.0791,5.66M,-6.33%
2018-12-13,1.1852,1.2394,1.3037,1.1596,5.30M,-4.37%
2018-12-12,1.2394,1.271,1.3106,1.2315,4.94M,-3.04%
2018-12-11,1.2783,1.2999,1.3332,1.2536,4.50M,-1.68%
2018-12-10,1.3,1.3547,1.3929,1.2807,4.62M,-4.03%
